Robot,Trajectory,X,Y,Timestep,Congestion,Velocity
F00,1,-0.364136,0.745645,15.9375,1,0.1599815989418776
F00,1,-0.368932,0.744229,15.96875,1,0.1600213489756901
F00,1,-0.373728,0.742814,16.0,1,0.16001229072793247
F00,1,-0.37535,0.742335,16.03125,1,0.05411998521803242
F00,1,-0.37535,0.742335,16.0625,1,0.0
F00,1,-0.37535,0.742335,16.09375,1,0.0
F00,1,-0.37535,0.742335,16.125,1,0.0
F00,1,-0.37535,0.742335,16.15625,1,0.0
F00,1,-0.37535,0.742335,16.1875,1,0.0
F00,1,-0.37535,0.742335,16.21875,1,0.0
F00,1,-0.37535,0.742335,16.25,1,0.0
F00,1,-0.375373,0.742335,16.28125,1,0.0007359999999998479
F00,1,-0.375375,0.742335,16.3125,1,6.4000000000064e-05
F00,1,-0.378683,0.742331,16.34375,1,0.10585607738812094
F00,1,-0.383683,0.742325,16.375,1,0.16000011519995866
F00,1,-0.388683,0.742318,16.40625,1,0.16000015679992333
F00,1,-0.393683,0.742312,16.4375,1,0.1600001151999587
F00,1,-0.398683,0.742306,16.46875,1,0.16000011519995866
F00,1,-0.403683,0.742299,16.5,1,0.16000015679992333
F00,1,-0.408683,0.742293,16.53125,1,0.1600001151999587
F00,1,-0.413683,0.742287,16.5625,1,0.16000011519995866
F00,1,-0.418683,0.74228,16.59375,1,0.16000015679992333
F00,1,-0.423683,0.742274,16.625,1,0.1600001151999569
F00,1,-0.428683,0.742268,16.65625,1,0.16000011519995866
F00,1,-0.433683,0.742261,16.6875,1,0.16000015679992333
F00,1,-0.438683,0.742255,16.71875,1,0.16000011519995866
F00,1,-0.443683,0.742249,16.75,1,0.16000011519995866
F00,1,-0.448683,0.742242,16.78125,1,0.16000015679992333
F00,1,-0.453683,0.742236,16.8125,1,0.16000011519995866
F00,1,-0.455385,0.742234,16.84375,1,0.05446403760280664
F00,1,-0.455388,0.742234,16.875,1,9.600000000098419e-05
F00,1,-0.455388,0.742234,16.90625,1,0.0
F00,1,-0.455388,0.742234,16.9375,1,0.0
F00,1,-0.455388,0.742234,16.96875,1,0.0
F00,1,-0.455388,0.742234,17.0,1,0.0
F00,1,-0.455388,0.742234,17.03125,1,0.0
F00,1,-0.455388,0.742234,17.0625,1,0.0
F00,1,-0.455388,0.742234,17.09375,1,0.0
F00,1,-0.455388,0.742234,17.125,1,0.0
F00,1,-0.455388,0.742234,17.15625,1,0.0
F00,1,-0.455388,0.742234,17.1875,1,0.0
F00,1,-0.455388,0.742234,17.21875,1,0.0
F00,1,-0.455388,0.742234,17.25,1,0.0
F00,1,-0.455388,0.742234,17.28125,1,0.0
F00,1,-0.455388,0.742234,17.3125,1,0.0
F00,1,-0.455388,0.742234,17.34375,1,0.0
F00,1,-0.455388,0.742234,17.375,1,0.0
F00,1,-0.455388,0.742234,17.40625,1,0.0
F00,1,-0.455388,0.742234,17.4375,1,0.0
F00,1,-0.455388,0.742234,17.46875,1,0.0
F00,1,-0.455388,0.742234,17.5,1,0.0
F00,1,-0.455388,0.742234,17.53125,1,0.0
F00,1,-0.455388,0.742234,17.5625,1,0.0
F00,1,-0.455388,0.742234,17.59375,1,0.0
F00,1,-0.455388,0.742234,17.625,1,0.0
F00,1,-0.455388,0.742234,17.65625,1,0.0
F00,1,-0.455388,0.742234,17.6875,1,0.0
F00,1,-0.455388,0.742234,17.71875,1,0.0
F00,1,-0.455388,0.742234,17.75,1,0.0
F00,1,-0.455388,0.742234,17.78125,1,0.0
F00,1,-0.455388,0.742234,17.8125,1,0.0
F00,1,-0.455388,0.742234,17.84375,1,0.0
F00,1,-0.455388,0.742234,17.875,1,0.0
F00,1,-0.455388,0.742234,17.90625,1,0.0
F00,1,-0.455388,0.742234,17.9375,1,0.0
F00,1,-0.455388,0.742234,17.96875,1,0.0
F00,1,-0.455388,0.742234,18.0,1,0.0
F00,1,-0.455388,0.742234,18.03125,1,0.0
F00,1,-0.455388,0.742234,18.0625,1,0.0
F00,1,-0.455388,0.742234,18.09375,1,0.0
F00,1,-0.455388,0.742234,18.125,1,0.0
F00,1,-0.455388,0.742234,18.15625,1,0.0
F00,1,-0.455388,0.742234,18.1875,1,0.0
F00,1,-0.455388,0.742234,18.21875,1,0.0
F00,1,-0.455388,0.742234,18.25,1,0.0
F00,1,-0.455388,0.742234,18.28125,1,0.0
F00,1,-0.455388,0.742234,18.3125,1,0.0
F00,1,-0.455388,0.742234,18.34375,1,0.0
F00,1,-0.455388,0.742234,18.375,1,0.0
F00,1,-0.455388,0.742234,18.40625,1,0.0
F00,1,-0.455388,0.742234,18.4375,1,0.0
F00,1,-0.455388,0.742234,18.46875,1,0.0
F00,1,-0.455388,0.742234,18.5,1,0.0
F00,1,-0.455388,0.742234,18.53125,1,0.0
F00,1,-0.455382,0.742212,18.5625,1,0.0007297122720624643
F00,1,-0.455381,0.74221,18.59375,1,7.155417527887322e-05
F00,1,-0.455381,0.74221,18.625,1,0.0
F00,1,-0.455381,0.74221,18.65625,1,0.0
F00,1,-0.455381,0.74221,18.6875,1,0.0
F00,1,-0.455381,0.74221,18.71875,1,0.0
F00,1,-0.455381,0.74221,18.75,1,0.0
F00,1,-0.455381,0.74221,18.78125,1,0.0
F00,1,-0.455381,0.74221,18.8125,1,0.0
F00,1,-0.455381,0.74221,18.84375,1,0.0
F00,1,-0.455369,0.74219,18.875,1,0.0007463618425400309
F00,1,-0.455368,0.742188,18.90625,1,7.155417528205085e-05
F00,1,-0.455368,0.742188,18.9375,1,0.0
F00,1,-0.453674,0.739347,18.96875,1,0.10584658241058048
F00,1,-0.451114,0.735052,19.0,1,0.16000199998749856
F00,1,-0.448553,0.730758,19.03125,1,0.15999090214134165
F00,1,-0.445993,0.726463,19.0625,1,0.16000199998750161
F00,1,-0.443432,0.722168,19.09375,1,0.16001838614359085
F00,1,-0.440872,0.717874,19.125,1,0.15997451317006783
F00,1,-0.438312,0.713579,19.15625,1,0.16000199998750161
F00,1,-0.435751,0.709284,19.1875,1,0.16001838614359085
F00,1,-0.433191,0.70499,19.21875,1,0.15997451317006783
F00,1,-0.43063,0.700695,19.25,1,0.1600183861435939
F00,1,-0.42807,0.6964,19.28125,1,0.16000199998749856
F00,1,-0.42551,0.692106,19.3125,1,0.15997451317006783
F00,1,-0.422949,0.687811,19.34375,1,0.1600183861435939
F00,1,-0.420389,0.683516,19.375,1,0.16000199998749856
F00,1,-0.417828,0.679222,19.40625,1,0.15999090214134165
F00,1,-0.415268,0.674927,19.4375,1,0.16000199998749765
F00,1,-0.412707,0.670632,19.46875,1,0.16001838614359482
F00,1,-0.410147,0.666338,19.5,1,0.15997451317006783
F00,1,-0.407587,0.662043,19.53125,1,0.16000199998749856
F00,1,-0.405026,0.657748,19.5625,1,0.1600183861435939
F00,1,-0.402466,0.653454,19.59375,1,0.15997451317006783
F00,1,-0.401599,0.652,19.625,1,0.05417180373589086
F00,1,-0.401599,0.652,19.65625,1,0.0
F00,1,-0.401599,0.652,19.6875,1,0.0
F00,1,-0.401599,0.652,19.71875,1,0.0
F00,1,-0.401599,0.652,19.75,1,0.0
F00,1,-0.401599,0.652,19.78125,1,0.0
F00,1,-0.401599,0.652,19.8125,1,0.0
F00,1,-0.401599,0.652,19.84375,1,0.0
F00,1,-0.401599,0.652,19.875,1,0.0
F00,1,-0.401599,0.652,19.90625,1,0.0
F00,1,-0.401599,0.652,19.9375,1,0.0
F00,1,-0.401599,0.652,19.96875,1,0.0
F00,1,-0.401599,0.652,20.0,1,0.0
F00,1,-0.401599,0.652,20.03125,1,0.0
F00,1,-0.401599,0.652,20.0625,1,0.0
F00,1,-0.401599,0.652,20.09375,1,0.0
F00,1,-0.401599,0.652,20.125,1,0.0
F00,1,-0.401599,0.652,20.15625,1,0.0
F00,1,-0.401599,0.652,20.1875,1,0.0
F00,1,-0.401599,0.652,20.21875,1,0.0
F00,1,-0.401599,0.652,20.25,1,0.0
F00,1,-0.401599,0.652,20.28125,1,0.0
F00,1,-0.401599,0.652,20.3125,1,0.0
F00,1,-0.401599,0.652,20.34375,1,0.0
F00,1,-0.401599,0.652,20.375,1,0.0
F00,1,-0.401599,0.652,20.40625,1,0.0
F00,1,-0.401599,0.652,20.4375,1,0.0
F00,1,-0.401599,0.652,20.46875,1,0.0
F00,1,-0.401599,0.652,20.5,1,0.0
F00,1,-0.401599,0.652,20.53125,1,0.0
F00,1,-0.401599,0.652,20.5625,1,0.0
F00,1,-0.401599,0.652,20.59375,1,0.0
F00,1,-0.401599,0.652,20.625,1,0.0
F00,1,-0.401599,0.652,20.65625,1,0.0
F00,1,-0.401599,0.652,20.6875,1,0.0
F00,1,-0.401599,0.652,20.71875,1,0.0
F00,1,-0.401599,0.652,20.75,1,0.0
F00,1,-0.401599,0.652,20.78125,1,0.0
F00,1,-0.401599,0.652,20.8125,1,0.0
F00,1,-0.401599,0.652,20.84375,1,0.0
F00,1,-0.401599,0.652,20.875,1,0.0
F00,1,-0.401599,0.652,20.90625,1,0.0
F00,1,-0.404307,0.6501,20.9375,1,0.10585793468607015
F00,1,-0.408408,0.647241,20.96875,1,0.15997466039345118
F00,1,-0.412511,0.644383,21.0,1,0.16000887335394778
F00,1,-0.416614,0.641525,21.03125,1,0.16000887335394837
F00,1,-0.420717,0.638667,21.0625,1,0.16000887335394984
F00,1,-0.42482,0.635809,21.09375,1,0.16000887335394837
F00,1,-0.428922,0.632952,21.125,1,0.15996432562293508
F00,1,-0.433025,0.630094,21.15625,1,0.16000887335394634
F00,1,-0.437128,0.627236,21.1875,1,0.16000887335394984
F00,1,-0.441231,0.624378,21.21875,1,0.16000887335394837
F00,1,-0.445334,0.62152,21.25,1,0.16000887335394984
F00,1,-0.449436,0.618663,21.28125,1,0.15996432562293364
F00,1,-0.453539,0.615805,21.3125,1,0.16000887335394778
F00,1,-0.457642,0.612947,21.34375,1,0.16000887335394837
F00,1,-0.461745,0.610089,21.375,1,0.16000887335394984
F00,1,-0.465848,0.607231,21.40625,1,0.16000887335394837
F00,1,-0.46995,0.604374,21.4375,1,0.15996432562293364
F00,1,-0.474053,0.601516,21.46875,1,0.16000887335394778
F00,1,-0.478156,0.598658,21.5,1,0.16000887335394984
F00,1,-0.482259,0.5958,21.53125,1,0.16000887335394837
F00,1,-0.486362,0.592942,21.5625,1,0.16000887335394984
F00,1,-0.490464,0.590084,21.59375,1,0.15998261665568375
F00,1,-0.494567,0.587227,21.625,1,0.15999058532301116
F00,1,-0.49867,0.584369,21.65625,1,0.16000887335394984
F00,1,-0.500058,0.583402,21.6875,1,0.05413235808645419
F00,1,-0.500058,0.583402,21.71875,1,0.0
F00,1,-0.500058,0.583402,21.75,1,0.0
F00,1,-0.500058,0.583402,21.78125,1,0.0
F00,1,-0.500058,0.583402,21.8125,1,0.0
F00,1,-0.500058,0.583402,21.84375,1,0.0
F00,1,-0.500058,0.583402,21.875,1,0.0
F00,1,-0.50008,0.583394,21.90625,1,0.0007491007942851358
F00,1,-0.500082,0.583393,21.9375,1,7.155417528046203e-05
F00,1,-0.50318,0.582232,21.96875,1,0.1058688698343369
F00,1,-0.507862,0.580479,22.0,1,0.15998122449837898
F00,1,-0.512544,0.578725,22.03125,1,0.15999244782176242
F00,1,-0.517226,0.576971,22.0625,1,0.15999244782176367
F00,1,-0.521909,0.575217,22.09375,1,0.1600224144299793
F00,1,-0.526591,0.573463,22.125,1,0.159992447821767
F00,1,-0.531273,0.571709,22.15625,1,0.15999244782176242
F00,1,-0.535956,0.569955,22.1875,1,0.1600224144299793
F00,1,-0.540638,0.568201,22.21875,1,0.15999244782176367
F00,1,-0.54532,0.566447,22.25,1,0.15999244782176575
F00,1,-0.550002,0.564693,22.28125,1,0.15999244782176367
F00,1,-0.554685,0.562939,22.3125,1,0.1600224144299793
F00,1,-0.559367,0.561185,22.34375,1,0.15999244782176242
F00,1,-0.564049,0.559432,22.375,1,0.15998122449837898
F00,1,-0.568732,0.557678,22.40625,1,0.1600224144299793
F00,1,-0.573414,0.555924,22.4375,1,0.15999244782176367
F00,1,-0.575008,0.555327,22.46875,1,0.054468145553157016
F00,1,-0.57501,0.555326,22.5,1,7.155417528205085e-05
F00,1,-0.57501,0.555326,22.53125,1,0.0
F00,1,-0.57501,0.555326,22.5625,1,0.0
F00,1,-0.57501,0.555326,22.59375,1,0.0
F00,1,-0.57501,0.555326,22.625,1,0.0
F00,1,-0.57501,0.555326,22.65625,1,0.0
F00,1,-0.57501,0.555326,22.6875,1,0.0
F00,1,-0.57501,0.555326,22.71875,1,0.0
F00,1,-0.57501,0.555326,22.75,1,0.0
F00,1,-0.57501,0.555326,22.78125,1,0.0
F00,1,-0.57501,0.555326,22.8125,1,0.0
F00,1,-0.57501,0.555326,22.84375,1,0.0
F00,1,-0.57501,0.555326,22.875,1,0.0
F00,1,-0.57501,0.555326,22.90625,1,0.0
F00,1,-0.57501,0.555326,22.9375,1,0.0
F00,1,-0.57501,0.555326,22.96875,1,0.0
F00,1,-0.57501,0.555326,23.0,1,0.0
F00,1,-0.57501,0.555326,23.03125,1,0.0
F00,1,-0.57501,0.555326,23.0625,1,0.0
F00,1,-0.57501,0.555326,23.09375,1,0.0
F00,1,-0.57501,0.555326,23.125,1,0.0
F00,1,-0.57501,0.555326,23.15625,1,0.0
F00,1,-0.57501,0.555326,23.1875,1,0.0
F00,1,-0.57501,0.555326,23.21875,1,0.0
F00,1,-0.57501,0.555326,23.25,1,0.0
F00,1,-0.57501,0.555326,23.28125,1,0.0
F00,1,-0.57501,0.555326,23.3125,1,0.0
F00,1,-0.57501,0.555326,23.34375,1,0.0
F00,1,-0.57501,0.555326,23.375,1,0.0
F00,1,-0.57501,0.555326,23.40625,1,0.0
F00,1,-0.57501,0.555326,23.4375,1,0.0
F00,1,-0.57501,0.555326,23.46875,1,0.0
F00,1,-0.57501,0.555326,23.5,1,0.0
F00,1,-0.57501,0.555326,23.53125,1,0.0
F00,1,-0.57501,0.555326,23.5625,1,0.0
F00,1,-0.57501,0.555326,23.59375,1,0.0
F00,1,-0.57501,0.555326,23.625,1,0.0
F00,1,-0.57501,0.555326,23.65625,1,0.0
F00,1,-0.57501,0.555326,23.6875,1,0.0
F00,1,-0.57501,0.555326,23.71875,1,0.0
F00,1,-0.57501,0.555326,23.75,1,0.0
F00,1,-0.57501,0.555326,23.78125,1,0.0
F00,1,-0.57501,0.555326,23.8125,1,0.0
F00,1,-0.57501,0.555326,23.84375,1,0.0
F00,1,-0.57501,0.555326,23.875,1,0.0
F00,1,-0.57501,0.555326,23.90625,1,0.0
F00,1,-0.57501,0.555326,23.9375,1,0.0
F00,1,-0.57501,0.555326,23.96875,1,0.0
F00,1,-0.57501,0.555326,24.0,1,0.0
F00,1,-0.57501,0.555326,24.03125,1,0.0
F00,1,-0.57501,0.555326,24.0625,1,0.0
F00,1,-0.574999,0.555306,24.09375,1,0.0007304135814731554
